node_id,neighbor_id,rssi,snr,packet_loss_rate,battery_voltage_mv,battery_pct,hop_count,is_gps,is_emergency,queue_len,distance_m,true_distance_m,last_seen_sec,uptime_min,canopy_density,wire_hex,delivery_probability,route_success
4,1,-78,15.0,13,3594,21,2,1,1,9,378,385.0,1,4936,light,04000100B23C0D6D1532097A010100481300,0.6056,1
14,4,-95,15.0,19,3978,89,1,1,0,4,204,211.7,25,797,medium,0E000400A13C1393591104CC0019001D03DB,0.7317,1
9,14,-106,11.52,41,3714,52,1,1,0,10,687,695.1,28,574,medium,09000E00962E297934110AAF021C003E02D2,0.5048,1
10,2,-128,-11.2,72,3814,75,3,1,0,5,2747,2742.7,9,4380,dense,0A00020080D348834B1305BB0A09001C1188,0.01,0
13,5,-125,-9.24,68,3917,85,3,0,0,3,881,1395.2,26,1733,medium,0D00050083DB448D55030371031A00C5062A,0.0335,0
11,4,-111,7.77,57,3803,75,1,1,0,8,500,524.3,24,1801,medium,0B000400911F39824B1108F40118000907A6,0.4724,1
16,2,-128,-9.18,71,3622,23,2,1,0,6,2849,2840.1,159,99,dense,1000020080DB4770171206210B9F00630075,0.01,0
9,14,-77,15.0,3,3797,75,4,0,0,4,308,366.8,122,7136,light,09000E00B33C03814B040434017A00E01B1D,0.683,0
7,3,-66,15.0,3,4128,96,4,1,0,7,127,130.4,30,1978,light,07000300BE3C03A26014077F001E00BA0799,0.6149,0
3,13,-67,15.0,0,3983,89,1,1,0,8,157,160.0,1168,6192,light,03000D00BD3C00945911089D0090043018AB,0.718,1
10,7,-121,-5.97,69,3833,78,1,1,0,5,2120,2132.9,18,586,medium,0A00070087E845854E1105480812004A026F,0.3941,1
3,16,-116,-2.05,67,3775,67,2,0,0,11,1803,891.9,273,6620,medium,030010008CF8437F43020B0B071101DC19D3,0.3653,1
14,6,-107,12.05,94,3911,85,5,1,0,40,571,560.8,26,4398,medium,0E00060095305E8D5515283B021A002E11E8,0.0806,0
9,8,-128,-10.07,95,4070,93,2,0,0,49,212,266.4,3,3948,dense,0900080080D85F9D5D0231D40003006C0F90,0.01,0
2,4,-128,-11.46,86,3709,47,2,0,0,11,3347,1805.7,18,1788,dense,0200040080D256782F020B130D1200FC0659,0.01,0
2,13,-90,15.0,69,4119,96,2,1,0,47,1534,1551.8,6,7065,light,02000D00A63C45A160122FFE050600991B5C,0.1301,1
8,11,-120,-2.46,62,3804,81,2,1,0,3,1192,1187.5,11,5507,medium,08000B0088F63E82511203A8040B008315BC,0.5069,1
3,1,-128,-11.31,79,3740,58,1,0,0,5,322,333.7,29,3594,dense,0300010080D34F7C3A010542011D000A0E09,0.01,0
1,12,-126,-7.31,89,4132,97,1,1,0,21,4088,4087.3,5,5883,medium,01000C0082E359A3611115F80F0500FB16AE,0.0527,0
9,10,-128,-11.54,71,3739,59,1,1,0,0,520,534.0,165,4524,dense,09000A0080D2477B3B11000802A500AC118E,0.01,0
4,2,-128,-9.6,83,3613,19,1,1,0,6,4147,4157.0,3561,331,medium,0400020080DA536F1311063310E90D4B01FE,0.01,0
8,12,-128,-14.94,70,3818,73,2,0,0,3,566,730.3,26,6038,dense,08000C0080C4468349020336021A00961723,0.01,0
14,13,-82,15.0,1,3644,23,2,0,0,0,143,107.1,8,6726,medium,0E000D00AE3C01721702008F000800461AD9,0.8946,1
1,12,-88,15.0,16,4137,98,1,1,0,6,200,204.5,27,2144,medium,01000C00A83C10A3621106C8001B00600803,0.6961,0
9,1,-126,-11.68,80,3776,69,2,0,0,6,3253,1761.0,161,18,medium,0900010082D1507F450206B50CA1001200C3,0.01,0
7,6,-128,-12.41,93,3914,83,2,1,0,34,244,260.0,22,2427,dense,0700060080CE5D8D531222F40016007B0900,0.01,0
13,11,-91,15.0,25,3806,73,3,1,0,3,923,921.4,19,5539,light,0D000B00A53C19824913039B031300A3155C,0.6505,1
6,12,-107,8.83,47,3767,70,3,1,0,10,854,845.3,26,2010,medium,06000C0095232F7E46130A56031A00DA07CE,0.4301,0
3,9,-107,8.54,58,3702,43,2,1,0,10,325,335.9,29,1445,medium,0300090095223A782B120A45011D00A5055A,0.4135,0
15,1,-128,-9.53,81,3617,22,2,1,0,8,382,378.0,257,4140,dense,0F00010080DA516F1612087E0101012C10D0,0.01,0
15,16,-128,-15.92,86,3999,88,3,1,0,12,1510,1526.9,21,5850,dense,0F00100080C0569558130CE6051500DA161E,0.01,0
