node_id,battery_voltage_mv,battery_pct,dv_dt_mv_per_hr,temperature_c,rssi_variance,missed_heartbeats,hours_to_failure,health_status
NODE_021,4088,87.1,-12.06,20.5,1.06,0,47.45,0
NODE_019,3762,51.5,-12.38,27.1,0.65,0,53.09,0
NODE_018,3958,72.5,-11.66,33.6,4.67,0,40.82,0
NODE_009,4195,97.9,-10.96,19.7,1.03,0,50.6,0
NODE_002,3607,34.1,-18.73,38.5,15.73,3,11.04,1
NODE_012,4064,85.2,-14.45,22.1,2.09,0,30.57,0
NODE_004,3969,72.7,-4.99,20.9,2.45,0,55.9,0
NODE_022,3644,36.3,-40.38,42.7,10.29,1,15.86,1
NODE_021,3508,24.6,-36.24,43.2,8.78,3,13.47,1
NODE_013,3850,60.5,-3.69,33.8,2.23,0,39.36,0
NODE_021,3864,63.2,-12.04,28.1,1.95,0,66.48,0
NODE_013,4194,99.9,-13.34,26.9,4.66,1,26.25,0
NODE_006,3580,30.7,-43.28,38.6,21.95,2,15.62,1
NODE_001,3455,21.4,-21.11,43.0,18.76,1,6.82,1
NODE_006,4161,97.7,-4.49,22.7,3.25,0,67.28,0
NODE_021,4031,81.9,-7.69,20.8,4.69,0,60.05,0
NODE_017,3278,10.6,-96.03,-3.6,44.63,8,0.67,2
NODE_008,3436,16.2,-132.29,48.0,39.02,6,0.41,2
NODE_016,3117,3.6,-92.51,61.5,43.22,15,1.76,2
NODE_023,4183,99.8,-7.2,25.9,3.35,0,30.13,0
NODE_011,4013,77.7,-7.94,18.1,4.39,0,21.64,0
NODE_002,3095,2.1,-118.58,50.2,23.31,13,1.48,2
NODE_008,3693,42.2,-39.86,35.2,14.03,2,9.07,1
NODE_024,4029,82.7,-7.25,19.1,4.51,0,23.9,0
NODE_007,3946,72.4,-9.94,23.0,1.87,1,41.93,0
NODE_018,4044,82.6,-8.51,18.3,1.01,0,30.76,0
NODE_014,3834,60.7,-10.19,19.1,2.58,2,32.32,0
NODE_015,4067,84.8,-6.23,32.1,4.14,0,28.25,0
NODE_007,3279,10.3,-91.2,47.9,34.6,12,2.31,2
NODE_017,4179,98.0,-14.04,21.3,3.77,0,30.7,0
NODE_004,3275,10.1,-87.9,-7.0,36.43,13,1.35,2
NODE_009,4090,85.8,-12.14,25.1,4.19,0,35.07,0
NODE_003,4029,81.1,-8.24,19.8,3.46,0,25.15,0
NODE_012,3383,15.1,-106.74,2.0,37.59,13,2.46,2
NODE_021,4058,83.4,-8.34,34.8,1.07,1,32.28,0
NODE_004,3478,22.7,-37.39,36.5,12.8,2,14.09,1
NODE_017,4159,95.3,-4.85,19.7,2.83,0,18.19,0
NODE_005,3499,25.9,-24.99,40.6,13.99,1,3.98,1
NODE_023,3252,9.7,-64.89,49.2,23.19,8,0.98,2
NODE_002,3156,4.4,-117.54,1.4,42.1,10,2.44,2
NODE_024,4175,96.5,-4.62,35.6,4.96,1,19.34,0
NODE_024,3371,13.5,-102.95,58.0,26.2,6,1.99,2
NODE_004,3766,51.9,-9.35,21.6,5.55,0,62.31,0
NODE_008,4044,83.0,-10.22,23.0,0.88,0,36.96,0
NODE_017,4176,99.1,-8.57,34.9,1.13,2,27.64,0
NODE_009,4011,79.8,-10.85,32.2,2.9,2,24.24,0
NODE_019,3765,52.2,-9.77,27.4,4.94,0,68.77,0
NODE_024,3575,28.9,-43.11,42.0,12.62,1,14.02,1
NODE_024,3271,9.1,-79.98,57.5,33.86,7,1.11,2
NODE_013,3694,45.1,-28.38,37.6,15.67,1,6.73,1
NODE_014,3636,36.2,-36.3,39.3,17.46,2,13.32,1
NODE_024,3784,54.2,-8.81,29.4,2.34,0,58.56,0
NODE_022,4106,90.3,-13.23,18.8,5.91,0,59.5,0
NODE_015,4039,81.5,-12.67,30.5,3.22,0,53.43,0
NODE_001,3418,14.8,-60.31,50.3,40.1,15,1.34,2
NODE_002,4172,95.9,-13.54,20.4,3.06,0,48.18,0
NODE_011,3392,15.3,-84.86,54.6,40.76,12,1.17,2
NODE_006,3587,32.2,-38.0,37.0,16.93,3,9.78,1
NODE_021,3951,72.0,-6.44,22.2,2.35,1,22.35,0
NODE_005,4072,84.7,-6.52,19.2,2.74,0,40.45,0
NODE_007,3559,29.7,-24.22,45.4,8.27,3,10.48,1
NODE_016,3906,67.6,-5.96,33.4,5.74,0,58.37,0
NODE_018,3702,44.9,-31.82,37.3,14.8,1,11.7,1
NODE_013,3684,43.2,-20.17,45.8,15.48,4,10.69,1
NODE_022,4047,82.1,-13.37,26.3,0.78,0,29.43,0
NODE_011,4159,94.0,-11.66,35.1,2.82,0,43.4,0
